X,Y,mes,dia,FFMC,DMC,DC,I+A1:A190SI,temperatura,RH,viento,lluvia,zona
2,2,feb,fri,866,132,43,53,123,51,09,0,0
2,2,mar,sun,893,513,1022,96,115,39,58,0,0
2,2,mar,sun,893,513,1022,96,55,59,63,0,0
2,2,aug,thu,93,753,4666,77,188,35,49,0,0
2,2,aug,sun,902,996,6312,63,208,33,27,0,0
2,2,aug,mon,911,1032,6388,58,231,31,31,0,0
2,2,aug,thu,917,1143,6613,63,186,44,45,0,0
2,2,sep,fri,924,1179,668,122,23,37,45,0,0
2,2,sep,fri,924,1179,668,122,196,33,54,0,0
2,2,sep,fri,924,1179,668,122,196,33,63,0,0
4,5,mar,fri,917,333,775,9,172,26,45,0,0
4,5,mar,fri,912,483,978,125,158,27,76,0,0
4,5,sep,fri,943,851,6923,159,177,37,36,0,0
5,4,mar,fri,917,333,775,9,156,25,63,0,0
5,4,aug,tue,888,1473,6145,9,173,43,45,0,0
5,4,sep,fri,933,1412,7139,139,276,30,13,0,0
9,9,feb,thu,842,68,266,77,67,79,31,0,0
9,9,feb,fri,866,132,43,53,157,43,31,0,0
1,3,mar,mon,876,522,1038,5,83,72,31,0,0
1,2,aug,fri,901,108,5298,125,147,66,27,0,0
1,2,aug,tue,91,1212,5616,7,216,19,67,0,0
1,2,aug,sun,914,1424,6014,106,195,39,63,0,0
1,2,aug,sun,902,996,6312,63,179,44,22,0,0
1,2,aug,tue,948,1083,6471,17,186,51,45,0,0
1,2,aug,wed,921,1112,6541,96,166,47,09,0,0
1,2,aug,thu,917,1143,6613,63,202,45,36,0,0
1,2,sep,thu,929,137,7064,92,215,15,09,0,0
1,2,sep,thu,929,137,7064,92,254,27,22,0,0
1,2,sep,thu,929,137,7064,92,224,34,22,0,0
1,2,sep,sun,935,1493,7286,81,253,36,36,0,0
6,5,mar,sat,917,358,808,78,174,25,49,0,0
6,5,aug,sat,902,969,6242,89,147,59,58,0,0
8,6,mar,fri,917,358,808,78,174,24,54,0,0
8,6,aug,sun,923,853,488,147,208,32,63,0,0
8,6,aug,sun,914,1424,6014,106,182,43,49,0,0
8,6,aug,mon,911,1032,6388,58,234,22,27,0,0
4,4,sep,sun,897,90,7044,48,178,64,13,0,0
3,4,feb,sat,839,8,302,26,127,48,18,0,0
3,4,mar,sat,69,24,155,07,174,24,54,0,0
3,4,aug,sun,914,1424,6014,106,116,87,45,0,0
3,4,aug,sun,914,1424,6014,106,198,39,54,0,0
3,4,aug,sun,914,1424,6014,106,198,39,54,0,0
3,4,aug,tue,888,1473,6145,9,144,66,54,0,0
2,4,aug,tue,948,1083,6471,17,201,40,4,0,0
2,4,sep,sat,925,1211,6744,86,241,29,45,0,0
2,4,jan,sat,821,37,93,29,53,78,31,0,0
4,5,mar,fri,859,195,573,28,127,52,63,0,0
4,5,mar,thu,914,307,743,75,182,29,31,0,0
4,5,aug,sun,902,996,6312,63,214,33,31,0,0
4,5,sep,sat,925,88,6986,71,203,45,31,0,0
4,5,sep,mon,886,918,7099,71,174,56,54,0,0
4,4,mar,fri,859,195,573,28,137,43,58,0,0
3,4,mar,fri,917,333,775,9,188,18,45,0,0
3,4,sep,sun,897,90,7044,48,228,39,36,0,0
3,4,sep,mon,918,785,7243,92,189,35,27,0,0
3,4,mar,tue,881,257,676,38,158,27,76,0,0
3,5,mar,tue,881,257,676,38,155,27,63,0,0
3,4,mar,sat,917,358,808,78,116,30,63,0,0
3,4,mar,sat,917,358,808,78,152,27,49,0,0
3,4,mar,mon,901,397,866,62,106,30,4,0,0
3,4,aug,thu,93,753,4666,77,196,36,31,0,0
3,4,aug,mon,915,1454,6082,107,103,74,22,0,0
3,4,aug,mon,915,1454,6082,107,171,43,54,0,0
3,4,sep,sun,924,1241,6807,85,225,42,54,0,0
3,4,sep,tue,844,734,6719,32,179,45,31,0,0
3,4,sep,fri,943,851,6923,159,198,50,54,0,0
3,4,oct,sun,926,465,6918,88,206,24,54,0,0
3,5,mar,mon,876,522,1038,5,9,49,22,0,0
3,5,sep,fri,935,1493,7286,81,172,43,31,0,0
3,5,oct,wed,914,379,6738,52,159,46,36,0,0
2,5,oct,sun,926,465,6918,88,154,35,09,0,0
4,6,feb,sat,682,215,872,08,154,40,27,0,0
4,6,mar,mon,872,239,647,41,14,39,31,0,0
4,6,mar,sun,893,513,1022,96,106,46,49,0,0
4,6,sep,thu,937,809,6852,179,176,42,31,0,0
3,5,mar,tue,881,257,676,38,149,38,27,0,0
3,5,aug,sat,935,1394,5942,203,176,52,58,0,0
3,6,sep,sun,924,1241,6807,85,172,58,13,0,0
3,6,sep,mon,909,1265,6865,7,156,66,31,0,0
9,9,jul,tue,858,483,3134,39,18,42,27,0,036
1,4,sep,tue,91,1295,6926,7,217,38,22,0,043
2,5,sep,mon,909,1265,6865,7,219,39,18,0,047
1,2,aug,wed,955,999,5133,132,233,31,45,0,055
8,6,aug,fri,901,108,5298,125,212,51,89,0,061
1,2,jul,sat,90,513,2963,87,166,53,54,0,071
2,5,aug,wed,955,999,5133,132,238,32,54,0,077
6,5,aug,thu,952,1317,5788,104,274,22,4,0,09
5,4,mar,mon,901,397,866,62,132,40,54,0,095
8,3,sep,tue,844,734,6719,32,242,28,36,0,096
2,2,aug,tue,948,1083,6471,17,174,43,67,0,107
8,6,sep,thu,937,809,6852,179,237,25,45,0,112
6,5,jun,fri,925,564,4333,71,232,39,54,0,119
9,9,jul,sun,901,686,3552,72,248,29,22,0,136
3,4,jul,sat,901,512,4241,62,246,43,18,0,143
5,4,sep,fri,943,851,6923,159,201,47,49,0,146
1,5,sep,sat,934,1454,7214,81,296,27,27,0,146
7,4,aug,sun,948,1083,6471,17,164,47,13,0,156
2,4,sep,sat,934,1454,7214,81,286,27,22,0,161
2,2,aug,wed,921,1112,6541,96,184,45,36,0,163
2,4,aug,wed,921,1112,6541,96,205,35,4,0,164
7,4,sep,fri,924,1179,668,122,19,34,58,0,169
7,4,mar,mon,901,397,866,62,161,29,31,0,175
6,4,aug,thu,952,1317,5788,104,203,41,4,0,19
6,3,mar,sat,906,501,1004,78,152,31,85,0,194
8,6,sep,sat,925,1211,6744,86,178,56,18,0,195
8,5,sep,sun,897,90,7044,48,178,67,22,0,201
6,5,mar,thu,849,182,55,3,53,70,45,0,214
6,5,aug,wed,921,1112,6541,96,166,47,09,0,229
6,5,aug,wed,96,1271,5705,165,234,33,45,0,251
6,5,mar,fri,912,483,978,125,146,26,94,0,253
8,6,aug,thu,952,1317,5788,104,207,45,22,0,255
5,4,sep,wed,929,1333,6996,92,219,35,18,0,257
8,6,aug,wed,856,904,6096,66,174,50,4,0,269
7,4,aug,sun,914,1424,6014,106,201,39,54,0,274
4,4,sep,mon,909,1265,6865,7,177,39,22,0,307
1,4,aug,sat,902,969,6242,89,142,53,18,0,35
1,4,aug,sat,902,969,6242,89,203,39,49,0,453
6,5,apr,thu,815,91,552,27,58,54,58,0,461
2,5,aug,sun,902,996,6312,63,192,44,27,0,469
2,5,sep,wed,901,829,7357,62,183,45,22,0,488
8,6,aug,tue,888,1473,6145,9,144,66,54,0,523
1,3,sep,sun,924,1241,6807,85,239,32,67,0,533
8,6,oct,mon,849,328,6642,3,191,32,4,0,544
5,4,feb,sun,868,156,483,39,124,53,22,0,638
7,4,oct,mon,917,485,6961,111,168,45,45,0,683
8,6,aug,fri,939,1357,5867,151,208,34,49,0,696
2,5,sep,tue,91,1295,6926,7,176,46,31,0,704
8,6,mar,sun,893,513,1022,96,115,39,58,0,719
1,5,sep,mon,909,1265,6865,7,21,42,22,0,73
6,4,mar,sat,908,419,894,79,133,42,09,0,74
7,4,mar,sun,907,44,924,55,115,60,4,0,824
6,5,mar,fri,912,483,978,125,117,33,4,0,831
2,5,aug,thu,952,1317,5788,104,242,28,27,0,868
2,2,aug,tue,948,1083,6471,17,246,22,45,0,871
4,5,sep,wed,929,1333,6996,92,243,25,4,0,941
2,2,aug,tue,948,1083,6471,17,246,22,45,0,1001
2,5,aug,fri,939,1357,5867,151,235,36,54,0,1002
6,5,apr,thu,815,91,552,27,58,54,58,0,1093
4,5,sep,thu,929,137,7064,92,215,15,09,0,1106
3,4,sep,tue,91,1295,6926,7,139,59,63,0,1124
